Title,Price,Review,Sentiment
A Light in the Attic,Â£51.77,This book titled 'A Light in the Attic' is interesting.,Positive
Tipping the Velvet,Â£53.74,This book titled 'Tipping the Velvet' is interesting.,Positive
Soumission,Â£50.10,This book titled 'Soumission' is interesting.,Positive
Sharp Objects,Â£47.82,This book titled 'Sharp Objects' is interesting.,Positive
Sapiens: A Brief History of Humankind,Â£54.23,This book titled 'Sapiens: A Brief History of Humankind' is interesting.,Positive
The Requiem Red,Â£22.65,This book titled 'The Requiem Red' is interesting.,Positive
The Dirty Little Secrets of Getting Your Dream Job,Â£33.34,This book titled 'The Dirty Little Secrets of Getting Your Dream Job' is interesting.,Negative
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Â£17.93,"This book titled 'The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull' is interesting.",Neutral
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Â£22.60,This book titled 'The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics' is interesting.,Positive
The Black Maria,Â£52.15,This book titled 'The Black Maria' is interesting.,Positive
"Starving Hearts (Triangular Trade Trilogy, #1)",Â£13.99,"This book titled 'Starving Hearts (Triangular Trade Trilogy, #1)' is interesting.",Positive
Shakespeare's Sonnets,Â£20.66,This book titled 'Shakespeare's Sonnets' is interesting.,Positive
Set Me Free,Â£17.46,This book titled 'Set Me Free' is interesting.,Positive
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â£52.29,This book titled 'Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)' is interesting.,Positive
Rip it Up and Start Again,Â£35.02,This book titled 'Rip it Up and Start Again' is interesting.,Positive
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Â£57.25,"This book titled 'Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991' is interesting.",Positive
Olio,Â£23.88,This book titled 'Olio' is interesting.,Positive
Mesaerion: The Best Science Fiction Stories 1800-1849,Â£37.59,This book titled 'Mesaerion: The Best Science Fiction Stories 1800-1849' is interesting.,Positive
Libertarianism for Beginners,Â£51.33,This book titled 'Libertarianism for Beginners' is interesting.,Positive
It's Only the Himalayas,Â£45.17,This book titled 'It's Only the Himalayas' is interesting.,Positive
In Her Wake,Â£12.84,This book titled 'In Her Wake' is interesting.,Positive
How Music Works,Â£37.32,This book titled 'How Music Works' is interesting.,Positive
